date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:25:25	255752/255752	---MCZ	200	added ('OK')	text/html	etag:W/%22e0b9fe5e7eca63c2785250dcc07dd7b7%22	https://edumon-nextjs.vercel.app/?storefront=envato-elements	C:/My%20Web%20Sites/edutech/edumon-nextjs.vercel.app/index04b9.html	(from )
21:25:26	33115/33115	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Aug%202025%2015:55:26%20GMT	https://edumon-nextjs.vercel.app/robots.txt		(from )
21:25:27	6574/6574	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22b99648a0dd41bd07bfd2c21df5c3af12%22	https://edumon-nextjs.vercel.app/assets/img/logo.svg	C:/My%20Web%20Sites/edutech/edumon-nextjs.vercel.app/assets/img/logo.svg	(from https://edumon-nextjs.vercel.app/?storefront=envato-elements)
21:25:27	5104/5104	---M--	200	added ('OK')	image/jpeg	etag:%22323ec848dc18e653d5dc83b1e028b844%22	https://edumon-nextjs.vercel.app/assets/img/mcart/1.jpg	C:/My%20Web%20Sites/edutech/edumon-nextjs.vercel.app/assets/img/mcart/1.jpg	(from https://edumon-nextjs.vercel.app/?storefront=envato-elements)
21:25:28	5603/5603	---M--	200	added ('OK')	image/jpeg	etag:%226f5c7eb2d964ea105ab61f9693df5732%22	https://edumon-nextjs.vercel.app/assets/img/mcart/2.jpg	C:/My%20Web%20Sites/edutech/edumon-nextjs.vercel.app/assets/img/mcart/2.jpg	(from https://edumon-nextjs.vercel.app/?storefront=envato-elements)
21:25:28	4730/4730	---M--	200	added ('OK')	image/jpeg	etag:%221fce425d7a3b93fe5033ac1d276d317e%22	https://edumon-nextjs.vercel.app/assets/img/mcart/3.jpg	C:/My%20Web%20Sites/edutech/edumon-nextjs.vercel.app/assets/img/mcart/3.jpg	(from https://edumon-nextjs.vercel.app/?storefront=envato-elements)
21:25:30	17876/17876	---M--	200	added ('OK')	image/png	etag:%22e20dc17dd24958ab283379d54d6a9f46%22	https://edumon-nextjs.vercel.app/assets/img/rev-img.png	C:/My%20Web%20Sites/edutech/edumon-nextjs.vercel.app/assets/img/rev-img.png	(from https://edumon-nextjs.vercel.app/?storefront=envato-elements)
21:25:31	283381/283381	---M--	200	added ('OK')	image/png	etag:%22c99c8dfdc3b95a8f596f937d8756b557%22	https://edumon-nextjs.vercel.app/assets/img/about.png	C:/My%20Web%20Sites/edutech/edumon-nextjs.vercel.app/assets/img/about.png	(from https://edumon-nextjs.vercel.app/?storefront=envato-elements)
21:25:31	549352/549352	---M--	200	added ('OK')	image/png	etag:%22e0cc6478a84b53c78414b2b095b34798%22	https://edumon-nextjs.vercel.app/assets/img/banner.png	C:/My%20Web%20Sites/edutech/edumon-nextjs.vercel.app/assets/img/banner.png	(from https://edumon-nextjs.vercel.app/?storefront=envato-elements)
21:25:31	190031/190031	---M--	200	added ('OK')	image/jpeg	etag:%2248234e67119b99121ca8538df4666fd0%22	https://edumon-nextjs.vercel.app/assets/img/courses/1.jpg	C:/My%20Web%20Sites/edutech/edumon-nextjs.vercel.app/assets/img/courses/1.jpg	(from https://edumon-nextjs.vercel.app/?storefront=envato-elements)
21:25:31	21465/21465	---M--	200	added ('OK')	image/jpeg	etag:%2210f44ef0428f7b74e24fca8efa7ad39e%22	https://edumon-nextjs.vercel.app/assets/img/review/1.jpg	C:/My%20Web%20Sites/edutech/edumon-nextjs.vercel.app/assets/img/review/1.jpg	(from https://edumon-nextjs.vercel.app/?storefront=envato-elements)
21:25:32	155142/155142	---M--	200	added ('OK')	image/jpeg	etag:%22ef44af7c39d67800c60164d1a9d61c7f%22	https://edumon-nextjs.vercel.app/assets/img/courses/2.jpg	C:/My%20Web%20Sites/edutech/edumon-nextjs.vercel.app/assets/img/courses/2.jpg	(from https://edumon-nextjs.vercel.app/?storefront=envato-elements)
21:25:33	32726/32726	---MCZ	200	added ('OK')	text/css	etag:W/%226ad5dc3c4cf330775737b4affb74eac8%22	https://edumon-nextjs.vercel.app/_next/static/css/ffe5a17846037bf2.css	C:/My%20Web%20Sites/edutech/edumon-nextjs.vercel.app/_next/static/css/ffe5a17846037bf2.css	(from https://edumon-nextjs.vercel.app/?storefront=envato-elements)
21:25:33	72996/72996	---MCZ	200	added ('OK')	text/css	etag:W/%22182debf22fb5bce2403c881f39c24c1f%22	https://edumon-nextjs.vercel.app/_next/static/css/52de1ae6d3f573f2.css	C:/My%20Web%20Sites/edutech/edumon-nextjs.vercel.app/_next/static/css/52de1ae6d3f573f2.css	(from https://edumon-nextjs.vercel.app/?storefront=envato-elements)
21:25:34	41877/41877	---MCZ	200	added ('OK')	text/css	etag:W/%2274b3161e685d533cab78a6232f5a3e00%22	https://edumon-nextjs.vercel.app/_next/static/css/c5734cd41e690c0a.css	C:/My%20Web%20Sites/edutech/edumon-nextjs.vercel.app/_next/static/css/c5734cd41e690c0a.css	(from https://edumon-nextjs.vercel.app/?storefront=envato-elements)
21:25:34	82173/82173	---MCZ	200	added ('OK')	text/css	etag:W/%223b82b50b517fec779b8ddd443b5f89bf%22	https://edumon-nextjs.vercel.app/_next/static/css/40e2063ffc9166b8.css	C:/My%20Web%20Sites/edutech/edumon-nextjs.vercel.app/_next/static/css/40e2063ffc9166b8.css	(from https://edumon-nextjs.vercel.app/?storefront=envato-elements)
21:25:35	23841/23841	---MCZ	200	added ('OK')	text/css	etag:W/%22d6b4bd027351a62c253ee70f6cebd8ab%22	https://edumon-nextjs.vercel.app/_next/static/css/84d6d05f95d6292c.css	C:/My%20Web%20Sites/edutech/edumon-nextjs.vercel.app/_next/static/css/84d6d05f95d6292c.css	(from https://edumon-nextjs.vercel.app/?storefront=envato-elements)
21:25:35	64642/64642	---MCZ	200	added ('OK')	text/css	etag:W/%22a9419015a6b3e39ac31bfacd377bd141%22	https://edumon-nextjs.vercel.app/_next/static/css/59831310a7795ea0.css	C:/My%20Web%20Sites/edutech/edumon-nextjs.vercel.app/_next/static/css/59831310a7795ea0.css	(from https://edumon-nextjs.vercel.app/?storefront=envato-elements)
21:25:36	228326/228326	---MCZ	200	added ('OK')	text/css	etag:W/%22d0fc1a022dc17d609fec2e6f3e59ebf0%22	https://edumon-nextjs.vercel.app/_next/static/css/cc6cbf47a7d40733.css	C:/My%20Web%20Sites/edutech/edumon-nextjs.vercel.app/_next/static/css/cc6cbf47a7d40733.css	(from https://edumon-nextjs.vercel.app/?storefront=envato-elements)
21:25:36	228321/228321	---MCZ	200	added ('OK')	text/css	etag:W/%22b3e5284eb255f72aa14c0180a8b1f671%22	https://edumon-nextjs.vercel.app/_next/static/css/455380e8d74e6160.css	C:/My%20Web%20Sites/edutech/edumon-nextjs.vercel.app/_next/static/css/455380e8d74e6160.css	(from https://edumon-nextjs.vercel.app/?storefront=envato-elements)
21:25:37	13967/13967	---MCZ	200	added ('OK')	text/css	etag:W/%22a6f5c19a24d03d951528bf12c82a051a%22	https://edumon-nextjs.vercel.app/_next/static/css/eca7b47e9a0364e6.css	C:/My%20Web%20Sites/edutech/edumon-nextjs.vercel.app/_next/static/css/eca7b47e9a0364e6.css	(from https://edumon-nextjs.vercel.app/?storefront=envato-elements)
21:25:37	96137/96137	---MCZ	200	added ('OK')	text/css	etag:W/%2299104ed74da9635bc2fe4b4c8d1dcc1f%22	https://edumon-nextjs.vercel.app/_next/static/css/53aa407c9ba667df.css	C:/My%20Web%20Sites/edutech/edumon-nextjs.vercel.app/_next/static/css/53aa407c9ba667df.css	(from https://edumon-nextjs.vercel.app/?storefront=envato-elements)
21:25:38	54674/54674	---MCZ	200	added ('OK')	text/css	etag:W/%2247e0b84604f18d5cde487b57a77b5732%22	https://edumon-nextjs.vercel.app/_next/static/css/3f1d1fd199a1839b.css	C:/My%20Web%20Sites/edutech/edumon-nextjs.vercel.app/_next/static/css/3f1d1fd199a1839b.css	(from https://edumon-nextjs.vercel.app/?storefront=envato-elements)
21:25:38	4209/4209	---MCZ	200	added ('OK')	application/javascript	etag:W/%2235e08335f5b086fcb025f5a8deb0f815%22	https://edumon-nextjs.vercel.app/_next/static/chunks/webpack-fee6e48baaaf45aa.js	C:/My%20Web%20Sites/edutech/edumon-nextjs.vercel.app/_next/static/chunks/webpack-fee6e48baaaf45aa.js	(from https://edumon-nextjs.vercel.app/?storefront=envato-elements)
21:25:39	172831/172831	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e98310e15c98d32910d2e8ef298eac36%22	https://edumon-nextjs.vercel.app/_next/static/chunks/fd9d1056-403db3361faf6966.js	C:/My%20Web%20Sites/edutech/edumon-nextjs.vercel.app/_next/static/chunks/fd9d1056-403db3361faf6966.js	(from https://edumon-nextjs.vercel.app/?storefront=envato-elements)
21:25:39	123527/123527	---MCZ	200	added ('OK')	application/javascript	etag:W/%2286be95c085c6dcbb5bb2ec2a7037f094%22	https://edumon-nextjs.vercel.app/_next/static/chunks/117-479bc60e2461a489.js	C:/My%20Web%20Sites/edutech/edumon-nextjs.vercel.app/_next/static/chunks/117-479bc60e2461a489.js	(from https://edumon-nextjs.vercel.app/?storefront=envato-elements)
21:25:40	461/461	---M--	200	added ('OK')	application/javascript	etag:%22ace3268523ca829896f160bf5401feab%22	https://edumon-nextjs.vercel.app/_next/static/chunks/main-app-2dcde4753ea0d175.js	C:/My%20Web%20Sites/edutech/edumon-nextjs.vercel.app/_next/static/chunks/main-app-2dcde4753ea0d175.js	(from https://edumon-nextjs.vercel.app/?storefront=envato-elements)
21:25:40	20663/20663	---MCZ	200	added ('OK')	application/javascript	etag:W/%221f07d52e500487db1e593173592b2b60%22	https://edumon-nextjs.vercel.app/_next/static/chunks/648-fec6e99eb7febaed.js	C:/My%20Web%20Sites/edutech/edumon-nextjs.vercel.app/_next/static/chunks/648-fec6e99eb7febaed.js	(from https://edumon-nextjs.vercel.app/?storefront=envato-elements)
21:25:41	15086/15086	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ba134e3e78b0b1df0b46b99f26114251%22	https://edumon-nextjs.vercel.app/_next/static/chunks/662-c7b0cf050b793811.js	C:/My%20Web%20Sites/edutech/edumon-nextjs.vercel.app/_next/static/chunks/662-c7b0cf050b793811.js	(from https://edumon-nextjs.vercel.app/?storefront=envato-elements)
21:25:41	97168/97168	---MCZ	200	added ('OK')	application/javascript	etag:W/%22cb298045ff03661aedc1d5efdeeed50c%22	https://edumon-nextjs.vercel.app/_next/static/chunks/741-43901d672ee1d1f2.js	C:/My%20Web%20Sites/edutech/edumon-nextjs.vercel.app/_next/static/chunks/741-43901d672ee1d1f2.js	(from https://edumon-nextjs.vercel.app/?storefront=envato-elements)
21:25:42	48132/48132	---MCZ	200	added ('OK')	application/javascript	etag:W/%2299cef59c764959bb89b82f69585ff135%22	https://edumon-nextjs.vercel.app/_next/static/chunks/282-07a94787a4e17c65.js	C:/My%20Web%20Sites/edutech/edumon-nextjs.vercel.app/_next/static/chunks/282-07a94787a4e17c65.js	(from https://edumon-nextjs.vercel.app/?storefront=envato-elements)
21:25:42	14104/14104	---MCZ	200	added ('OK')	application/javascript	etag:W/%227fd908598f95337c14803d1eaf7f6d5b%22	https://edumon-nextjs.vercel.app/_next/static/chunks/83-69442f8a193c72a0.js	C:/My%20Web%20Sites/edutech/edumon-nextjs.vercel.app/_next/static/chunks/83-69442f8a193c72a0.js	(from https://edumon-nextjs.vercel.app/?storefront=envato-elements)
21:25:43	8396/8396	---MCZ	200	added ('OK')	application/javascript	etag:W/%221a74d09682a3ae06165cc0ea3285d6e6%22	https://edumon-nextjs.vercel.app/_next/static/chunks/525-0d8e7bdee065cffd.js	C:/My%20Web%20Sites/edutech/edumon-nextjs.vercel.app/_next/static/chunks/525-0d8e7bdee065cffd.js	(from https://edumon-nextjs.vercel.app/?storefront=envato-elements)
21:25:44	21446/21446	---MCZ	200	added ('OK')	application/javascript	etag:W/%22877701ac7a642305e56f8266a62e8837%22	https://edumon-nextjs.vercel.app/_next/static/chunks/25-c308fcc66b92ad30.js	C:/My%20Web%20Sites/edutech/edumon-nextjs.vercel.app/_next/static/chunks/25-c308fcc66b92ad30.js	(from https://edumon-nextjs.vercel.app/?storefront=envato-elements)
21:25:44	5664/5664	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f6ccd06cbf5e7455635332eaf4deaf16%22	https://edumon-nextjs.vercel.app/_next/static/chunks/291-cbbe864fb098aa7f.js	C:/My%20Web%20Sites/edutech/edumon-nextjs.vercel.app/_next/static/chunks/291-cbbe864fb098aa7f.js	(from https://edumon-nextjs.vercel.app/?storefront=envato-elements)
